ShareCode,MA_std,RSI,Price/BB_up,Price/BB_down,Price/KijunSen,Price/TenkanSen,Price/MA_20,Price/MA_50,Price/MA_100,San,Nganh,So_huu_nha_nuoc,So_huu_nuoc_ngoai,DTT_2018,TT_DTT,EPS_2018,LNST_2018,TT_LNST,TTS_2018,TT_TTS,VCSH_2018,EBITDA,EBITDA_per,ROE,ROA,EV,EV/EBITDA,P/E,P/B,Book_value,Market_size,TTS/VCSH
IN4,> 0.7,> 70,> 1,> 1.1,> 1,> 1,>= 1,>= 1,<= 1,UPCOM,Truyền thông L3,0.45,8.33333e-05,<= 115 ty,0 => 0.1,> 2500,2 ty => 13 ty,<= 0,170 ty => 450 ty,> 0.1,<= 70 ty,8 ty => 36 ty,> 0.2,0.1 => 0.2,0.05 => 0.1,40 ty => 180 ty,4 => 9,8 => 18,> 1.5,<= 70 ty,50 ty => 150 ty,2 => 3
TDN,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,> 1,> 1,>= 1,<= 1,<= 1,HNX,Khai khoáng L3,0.509999984,0.0012,> 1150 ty,> 0.1,1000 => 2500,13 ty => 65 ty,<= 0,450 ty => 1450 ty,> 0.1,200 ty => 600 ty,> 140 ty,0.05 => 0.1,0.1 => 0.2,0.01 => 0.05,> 750 ty,4 => 9,<= 5,<= 0.5,190 ty => 550 ty,150 ty => 600 ty,> 3
TBD,> 0.7,30 => 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Điện tử & Thiết bị điện L3,0.4647040919,0.0464351237,> 1150 ty,<= 0,> 2500,> 65 ty,> 0.2,> 1450 ty,<= 0,200 ty => 600 ty,> 140 ty,0.05 => 0.1,> 0.2,0.05 => 0.1,> 750 ty,> 9,> 18,> 1.5,190 ty => 550 ty,> 600 ty,> 3
TAP,<= 0.3,No info,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,>= 1,>= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.6,0.0,<= 115 ty,> 0.1,> 2500,2 ty => 13 ty,> 0.2,<= 170 ty,0 => 0.1,<= 70 ty,<= 8 ty,0.05 => 0.1,0.1 => 0.2,> 0.1,<= 40 ty,1 => 4,<= 5,0.5 => 0.8,<= 70 ty,<= 50 ty,1.5 => 2
PFL,<= 0.3,30 => 70,<= 0.9,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Bất động sản L3,0.3486695,0.001748,<= 115 ty,<= 0,<= 250,<= 2 ty,0 => 0.2,450 ty => 1450 ty,<= 0,200 ty => 600 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,180 ty => 750 ty,<= 1,<= 5,<= 0.5,190 ty => 550 ty,<= 50 ty,1.5 => 2
HDP,<= 0.3,No info,0.9 => 1,1 => 1.1,> 1,<= 1,>= 1,>= 1,>= 1,UPCOM,Dược phẩm L3,0.0,0.0016903936,115 ty => 350 ty,<= 0,1000 => 2500,2 ty => 13 ty,<= 0,170 ty => 450 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,180 ty => 750 ty,4 => 9,5 => 8,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,2 => 3
HDW,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Nước & Khí đốt L3,0.6500000157,0.0,350 ty => 1150 ty,0 => 0.1,1000 => 2500,13 ty => 65 ty,0 => 0.2,450 ty => 1450 ty,<= 0,200 ty => 600 ty,> 140 ty,> 0.2,0.1 => 0.2,0.01 => 0.05,> 750 ty,4 => 9,8 => 18,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,2 => 3
VCT,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.51,0.0,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,> 0.2,<= 0.01,40 ty => 180 ty,<= 1,<= 5,<= 0.5,<= 70 ty,<= 50 ty,<= 1.5
VWS,0.3 => 0.7,30 => 70,0.9 => 1,> 1.1,> 1,> 1,<= 1,<= 1,<= 1,UPCOM,Nước & Khí đốt L3,0.3535,0.0011944444,115 ty => 350 ty,<= 0,1000 => 2500,2 ty => 13 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,0.05 => 0.1,0.05 => 0.1,0.05 => 0.1,40 ty => 180 ty,> 9,8 => 18,0.8 => 1.5,<= 70 ty,<= 50 ty,1.5 => 2
MTL,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.8525,0.0,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,40 ty => 180 ty,> 9,> 18,0.8 => 1.5,<= 70 ty,50 ty => 150 ty,<= 1.5
HBE,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,>= 1,>= 1,HNX,Truyền thông L3,0.0,0.2082,<= 115 ty,0 => 0.1,250 => 1000,<= 2 ty,0 => 0.2,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,0.05 => 0.1,0.05 => 0.1,0.05 => 0.1,<= 40 ty,4 => 9,8 => 18,0.5 => 0.8,<= 70 ty,<= 50 ty,<= 1.5
HBH,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Bia và đồ uống L3,0.0,6.25e-05,115 ty => 350 ty,> 0.1,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,<= 0,70 ty => 200 ty,36 ty => 140 ty,0.1 => 0.2,<= 0.05,<= 0.01,180 ty => 750 ty,4 => 9,> 18,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,2 => 3
HDA,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,>= 1,<= 1,<= 1,HNX,Xây dựng và Vật liệu L3,0.0,0.058,115 ty => 350 ty,> 0.1,1000 => 2500,13 ty => 65 ty,> 0.2,170 ty => 450 ty,> 0.1,70 ty => 200 ty,8 ty => 36 ty,0.1 => 0.2,0.1 => 0.2,0.05 => 0.1,40 ty => 180 ty,4 => 9,5 => 8,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,1.5 => 2
FID,<= 0.3,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Bất động sản L3,0.0,0.0001,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,<= 0,200 ty => 600 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,40 ty => 180 ty,> 9,> 18,<= 0.5,190 ty => 550 ty,<= 50 ty,<= 1.5
TA6,> 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.0,0.0009333333,350 ty => 1150 ty,> 0.1,1000 => 2500,2 ty => 13 ty,0 => 0.2,170 ty => 450 ty,> 0.1,<= 70 ty,8 ty => 36 ty,<= 0.05,0.1 => 0.2,0.01 => 0.05,180 ty => 750 ty,> 9,<= 5,<= 0.5,<= 70 ty,<= 50 ty,> 3
WSB,> 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Bia và đồ uống L3,0.51,0.1966415172,350 ty => 1150 ty,> 0.1,> 2500,> 65 ty,> 0.2,450 ty => 1450 ty,0 => 0.1,200 ty => 600 ty,> 140 ty,> 0.2,> 0.2,> 0.1,> 750 ty,4 => 9,5 => 8,0.8 => 1.5,190 ty => 550 ty,> 600 ty,1.5 => 2
CT3,0.3 => 0.7,30 => 70,0.9 => 1,> 1.1,> 1,<= 1,>= 1,>= 1,>= 1,UPCOM,Xây dựng và Vật liệu L3,0.33284075,0.0,115 ty => 350 ty,> 0.1,No info,2 ty => 13 ty,> 0.2,170 ty => 450 ty,0 => 0.1,70 ty => 200 ty,8 ty => 36 ty,0.05 => 0.1,<= 0.05,0.01 => 0.05,180 ty => 750 ty,> 9,No info,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,> 3
HDO,<= 0.3,30 => 70,<= 0.9,> 1.1,<= 1,> 1,<= 1,<= 1,<= 1,UPCOM,Hàng công nghiệp L3,0.0,0.0015179657,<= 115 ty,<= 0,<= 250,<= 2 ty,> 0.2,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,40 ty => 180 ty,<= 1,<= 5,<= 0.5,<= 70 ty,<= 50 ty,> 3
B82,<= 0.3,<= 30,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.0,0.001547,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info
HDM,> 0.7,<= 30,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Hàng cá nhân L3,0.6389824,0.0,> 1150 ty,0 => 0.1,> 2500,13 ty => 65 ty,<= 0,450 ty => 1450 ty,> 0.1,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,0.1 => 0.2,0.01 => 0.05,> 750 ty,4 => 9,5 => 8,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,> 3
HD2,0.3 => 0.7,> 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Bất động sản L3,0.5099999967,0.0691113149,<= 115 ty,<= 0,1000 => 2500,13 ty => 65 ty,<= 0,<= 170 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,> 0.2,0.1 => 0.2,0.05 => 0.1,40 ty => 180 ty,1 => 4,<= 5,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,<= 1.5
CT6,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Xây dựng và Vật liệu L3,0.1588769823,0.0016,<= 115 ty,<= 0,<= 250,<= 2 ty,0 => 0.2,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,40 ty => 180 ty,> 9,<= 5,0.5 => 0.8,<= 70 ty,<= 50 ty,> 3
SKN,0.3 => 0.7,No info,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Bia và đồ uống L3,0.51,0.0,115 ty => 350 ty,> 0.1,250 => 1000,2 ty => 13 ty,<= 0,<= 170 ty,0 => 0.1,<= 70 ty,8 ty => 36 ty,0.05 => 0.1,0.05 => 0.1,0.05 => 0.1,40 ty => 180 ty,4 => 9,8 => 18,0.5 => 0.8,<= 70 ty,<= 50 ty,<= 1.5
MND,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.6604395129,0.0,<= 115 ty,0 => 0.1,250 => 1000,<= 2 ty,> 0.2,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,0.05 => 0.1,<= 0.05,0.01 => 0.05,<= 40 ty,1 => 4,> 18,0.5 => 0.8,<= 70 ty,<= 50 ty,<= 1.5
MNB,> 0.7,No info,0.9 => 1,> 1.1,> 1,<= 1,>= 1,>= 1,>= 1,UPCOM,Hàng cá nhân L3,0.2769230769,0.0022924176,> 1150 ty,0 => 0.1,> 2500,> 65 ty,<= 0,> 1450 ty,<= 0,200 ty => 600 ty,> 140 ty,<= 0.05,0.1 => 0.2,0.01 => 0.05,> 750 ty,> 9,8 => 18,> 1.5,190 ty => 550 ty,> 600 ty,> 3
WSS,<= 0.3,30 => 70,<= 0.9,> 1.1,<= 1,<= 1,>= 1,<= 1,<= 1,HNX,Dịch vụ tài chính L3,0.0,0.0236,<= 115 ty,> 0.1,250 => 1000,13 ty => 65 ty,> 0.2,450 ty => 1450 ty,<= 0,200 ty => 600 ty,36 ty => 140 ty,> 0.2,0.05 => 0.1,0.05 => 0.1,40 ty => 180 ty,1 => 4,<= 5,<= 0.5,> 550 ty,50 ty => 150 ty,<= 1.5
TSJ,0.3 => 0.7,<= 30,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Du lịch & Giải trí L3,0.4519117647,0.0,115 ty => 350 ty,0 => 0.1,1000 => 2500,> 65 ty,<= 0,450 ty => 1450 ty,<= 0,> 600 ty,36 ty => 140 ty,> 0.2,0.1 => 0.2,> 0.1,> 750 ty,> 9,> 18,> 1.5,> 550 ty,> 600 ty,<= 1.5
TSG,<= 0.3,No info,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Vận tải L3,0.7576851761,0.0,115 ty => 350 ty,<= 0,1000 => 2500,2 ty => 13 ty,0 => 0.2,<= 170 ty,<= 0,<= 70 ty,8 ty => 36 ty,0.05 => 0.1,0.1 => 0.2,0.05 => 0.1,40 ty => 180 ty,> 9,<= 5,0.5 => 0.8,<= 70 ty,<= 50 ty,2 => 3
TSD,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Du lịch & Giải trí L3,0.51,0.0,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,<= 40 ty,<= 1,<= 5,> 1.5,<= 70 ty,<= 50 ty,> 3
TSB,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,>= 1,<= 1,HNX,Điện tử & Thiết bị điện L3,0.5100084798,0.0,115 ty => 350 ty,<= 0,<= 250,<= 2 ty,> 0.2,<= 170 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,0.05 => 0.1,<= 0.05,0.01 => 0.05,40 ty => 180 ty,4 => 9,> 18,0.5 => 0.8,70 ty => 190 ty,<= 50 ty,1.5 => 2
VAT,<= 0.3,30 => 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,<= 1,<= 1,HNX,Thiết bị và Phần cứng L3,0.0,0.0647,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,0.05 => 0.1,<= 0.05,<= 0.01,40 ty => 180 ty,> 9,> 18,<= 0.5,<= 70 ty,<= 50 ty,2 => 3
SKV,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,> 1,> 1,>= 1,>= 1,<= 1,UPCOM,Bia và đồ uống L3,0.51,0.0041173913,> 1150 ty,> 0.1,> 2500,> 65 ty,0 => 0.2,450 ty => 1450 ty,<= 0,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,> 0.2,> 0.1,> 750 ty,4 => 9,8 => 18,> 1.5,190 ty => 550 ty,150 ty => 600 ty,1.5 => 2
TUG,<= 0.3,No info,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Vận tải L3,0.6,0.0,<= 115 ty,0 => 0.1,1000 => 2500,2 ty => 13 ty,> 0.2,<= 170 ty,> 0.1,<= 70 ty,8 ty => 36 ty,0.1 => 0.2,0.1 => 0.2,> 0.1,<= 40 ty,1 => 4,<= 5,0.5 => 0.8,<= 70 ty,<= 50 ty,<= 1.5
CMW,0.3 => 0.7,No info,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Nước & Khí đốt L3,0.7148871251,0.0,<= 115 ty,0 => 0.1,250 => 1000,2 ty => 13 ty,0 => 0.2,170 ty => 450 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,> 0.2,0.05 => 0.1,0.01 => 0.05,180 ty => 750 ty,4 => 9,> 18,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,2 => 3
GTS,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.4900040576,0.0014367838,> 1150 ty,<= 0,1000 => 2500,13 ty => 65 ty,<= 0,450 ty => 1450 ty,0 => 0.1,200 ty => 600 ty,36 ty => 140 ty,<= 0.05,0.1 => 0.2,0.01 => 0.05,180 ty => 750 ty,> 9,5 => 8,0.5 => 0.8,190 ty => 550 ty,150 ty => 600 ty,2 => 3
CMK,<= 0.3,No info,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Công nghiệp nặng L3,0.3639718047,0.0,115 ty => 350 ty,> 0.1,1000 => 2500,<= 2 ty,> 0.2,170 ty => 450 ty,0 => 0.1,<= 70 ty,8 ty => 36 ty,0.05 => 0.1,0.05 => 0.1,<= 0.01,40 ty => 180 ty,> 9,5 => 8,0.5 => 0.8,<= 70 ty,<= 50 ty,> 3
TST,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,> 1,> 1,<= 1,<= 1,<= 1,HNX,Phần mềm & Dịch vụ Máy tính L3,0.328123125,0.0607,115 ty => 350 ty,<= 0,250 => 1000,2 ty => 13 ty,<= 0,170 ty => 450 ty,<= 0,70 ty => 200 ty,<= 8 ty,0.05 => 0.1,<= 0.05,<= 0.01,180 ty => 750 ty,> 9,8 => 18,<= 0.5,70 ty => 190 ty,<= 50 ty,2 => 3
LQN,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Công nghiệp nặng L3,0.6476757819,0.0,115 ty => 350 ty,> 0.1,1000 => 2500,2 ty => 13 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,8 ty => 36 ty,<= 0.05,> 0.2,0.01 => 0.05,40 ty => 180 ty,> 9,<= 5,0.8 => 1.5,<= 70 ty,<= 50 ty,> 3
X18,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Xây dựng và Vật liệu L3,0.0,0.0,115 ty => 350 ty,> 0.1,> 2500,13 ty => 65 ty,<= 0,450 ty => 1450 ty,0 => 0.1,<= 70 ty,36 ty => 140 ty,> 0.2,<= 0.05,0.05 => 0.1,> 750 ty,4 => 9,<= 5,<= 0.5,<= 70 ty,<= 50 ty,<= 1.5
VPW,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Nước & Khí đốt L3,0.9675073393,0.0,115 ty => 350 ty,> 0.1,250 => 1000,2 ty => 13 ty,0 => 0.2,170 ty => 450 ty,0 => 0.1,70 ty => 200 ty,8 ty => 36 ty,> 0.2,<= 0.05,0.01 => 0.05,180 ty => 750 ty,4 => 9,> 18,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,1.5 => 2
S99,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,> 1,> 1,<= 1,>= 1,>= 1,HNX,Xây dựng và Vật liệu L3,0.0,0.0076,350 ty => 1150 ty,> 0.1,1000 => 2500,13 ty => 65 ty,> 0.2,> 1450 ty,<= 0,> 600 ty,> 140 ty,0.1 => 0.2,0.05 => 0.1,0.01 => 0.05,> 750 ty,> 9,5 => 8,0.5 => 0.8,> 550 ty,150 ty => 600 ty,> 3
SZE,0.3 => 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,> 1,<= 1,<= 1,>= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.6404282,0.00014,350 ty => 1150 ty,0 => 0.1,250 => 1000,13 ty => 65 ty,0 => 0.2,450 ty => 1450 ty,0 => 0.1,200 ty => 600 ty,36 ty => 140 ty,0.1 => 0.2,0.05 => 0.1,0.05 => 0.1,180 ty => 750 ty,4 => 9,8 => 18,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,<= 1.5
TTS,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Kim loại L3,0.0,0.0,> 1150 ty,> 0.1,<= 250,2 ty => 13 ty,<= 0,> 1450 ty,0 => 0.1,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,<= 0.05,<= 0.01,> 750 ty,> 9,> 18,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,> 3
TTP,> 0.7,30 => 70,<= 0.9,> 1.1,<= 1,> 1,<= 1,<= 1,>= 1,UPCOM,Hàng công nghiệp L3,0.0,0.8822391176,> 1150 ty,0 => 0.1,> 2500,13 ty => 65 ty,> 0.2,450 ty => 1450 ty,0 => 0.1,> 600 ty,36 ty => 140 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,> 750 ty,4 => 9,5 => 8,<= 0.5,> 550 ty,150 ty => 600 ty,1.5 => 2
BCB,<= 0.3,No info,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Khai khoáng L3,0.51,0.0,350 ty => 1150 ty,No info,1000 => 2500,13 ty => 65 ty,No info,170 ty => 450 ty,No info,<= 70 ty,36 ty => 140 ty,0.05 => 0.1,> 0.2,0.01 => 0.05,180 ty => 750 ty,4 => 9,<= 5,0.5 => 0.8,<= 70 ty,<= 50 ty,> 3
BCC,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Xây dựng và Vật liệu L3,0.7314592446,0.0451,> 1150 ty,0 => 0.1,250 => 1000,> 65 ty,> 0.2,> 1450 ty,<= 0,> 600 ty,> 140 ty,0.1 => 0.2,<= 0.05,0.01 => 0.05,> 750 ty,4 => 9,8 => 18,<= 0.5,> 550 ty,> 600 ty,2 => 3
PVH,<= 0.3,<= 30,<= 0.9,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.0,0.0,<= 115 ty,<= 0,<= 250,<= 2 ty,> 0.2,450 ty => 1450 ty,<= 0,70 ty => 200 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,180 ty => 750 ty,> 9,<= 5,<= 0.5,70 ty => 190 ty,<= 50 ty,> 3
QTC,0.3 => 0.7,30 => 70,<= 0.9,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Xây dựng và Vật liệu L3,0.538,0.3109,115 ty => 350 ty,> 0.1,> 2500,2 ty => 13 ty,0 => 0.2,<= 170 ty,<= 0,<= 70 ty,8 ty => 36 ty,0.1 => 0.2,0.1 => 0.2,0.05 => 0.1,40 ty => 180 ty,4 => 9,5 => 8,0.8 => 1.5,<= 70 ty,<= 50 ty,2 => 3
PNT,0.3 => 0.7,30 => 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Xây dựng và Vật liệu L3,0.3916715018,0.0004309044,<= 115 ty,> 0.1,1000 => 2500,2 ty => 13 ty,<= 0,170 ty => 450 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,> 0.2,0.05 => 0.1,0.01 => 0.05,180 ty => 750 ty,> 9,5 => 8,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,2 => 3
S74,<= 0.3,No info,> 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,HNX,Xây dựng và Vật liệu L3,0.2345679012,0.0318,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,<= 0,70 ty => 200 ty,<= 8 ty,0.1 => 0.2,<= 0.05,<= 0.01,40 ty => 180 ty,> 9,<= 5,<= 0.5,70 ty => 190 ty,<= 50 ty,<= 1.5
IPA,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,>= 1,>= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.0,0.0050226801,350 ty => 1150 ty,<= 0,250 => 1000,13 ty => 65 ty,<= 0,> 1450 ty,0 => 0.1,> 600 ty,> 140 ty,0.1 => 0.2,<= 0.05,0.01 => 0.05,> 750 ty,> 9,> 18,0.8 => 1.5,> 550 ty,> 600 ty,1.5 => 2
H11,<= 0.3,No info,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Xây dựng và Vật liệu L3,0.51,9.43396e-05,<= 115 ty,> 0.1,<= 250,<= 2 ty,> 0.2,<= 170 ty,> 0.1,<= 70 ty,<= 8 ty,0.05 => 0.1,<= 0.05,<= 0.01,40 ty => 180 ty,> 9,> 18,0.5 => 0.8,<= 70 ty,<= 50 ty,> 3
EFI,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Bất động sản L3,0.0,0.0841636029,<= 115 ty,No info,<= 250,<= 2 ty,No info,<= 170 ty,No info,70 ty => 200 ty,<= 8 ty,0.05 => 0.1,<= 0.05,<= 0.01,<= 40 ty,> 9,> 18,<= 0.5,70 ty => 190 ty,<= 50 ty,<= 1.5
LKW,> 0.7,30 => 70,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Nước & Khí đốt L3,0.51,0.02616,<= 115 ty,<= 0,1000 => 2500,2 ty => 13 ty,0 => 0.2,<= 170 ty,<= 0,<= 70 ty,8 ty => 36 ty,> 0.2,0.1 => 0.2,> 0.1,40 ty => 180 ty,4 => 9,8 => 18,0.8 => 1.5,<= 70 ty,50 ty => 150 ty,<= 1.5
QTP,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,> 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Sản xuất & Phân phối Điện L3,0.6403978756,6.2222e-06,> 1150 ty,> 0.1,250 => 1000,> 65 ty,<= 0,> 1450 ty,<= 0,> 600 ty,> 140 ty,> 0.2,0.05 => 0.1,0.01 => 0.05,> 750 ty,4 => 9,> 18,0.8 => 1.5,> 550 ty,> 600 ty,> 3
VXB,> 0.7,<= 30,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Xây dựng và Vật liệu L3,0.4975606359,0.0,115 ty => 350 ty,<= 0,250 => 1000,2 ty => 13 ty,<= 0,170 ty => 450 ty,<= 0,<= 70 ty,8 ty => 36 ty,0.05 => 0.1,<= 0.05,0.01 => 0.05,40 ty => 180 ty,> 9,8 => 18,0.5 => 0.8,<= 70 ty,<= 50 ty,> 3
VTL,> 0.7,<= 30,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Bia và đồ uống L3,0.3201586089,0.0092,<= 115 ty,> 0.1,No info,2 ty => 13 ty,<= 0,<= 170 ty,0 => 0.1,<= 70 ty,8 ty => 36 ty,> 0.2,> 0.2,0.05 => 0.1,180 ty => 750 ty,4 => 9,No info,> 1.5,<= 70 ty,50 ty => 150 ty,2 => 3
VTM,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Du lịch & Giải trí L3,0.9524397394,0.0,115 ty => 350 ty,0 => 0.1,1000 => 2500,2 ty => 13 ty,0 => 0.2,<= 170 ty,<= 0,<= 70 ty,36 ty => 140 ty,0.1 => 0.2,0.1 => 0.2,0.01 => 0.05,40 ty => 180 ty,1 => 4,8 => 18,> 1.5,<= 70 ty,50 ty => 150 ty,2 => 3
VRG,> 0.7,30 => 70,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Bất động sản L3,0.1545588106,0.0007105655,<= 115 ty,> 0.1,<= 250,<= 2 ty,> 0.2,170 ty => 450 ty,> 0.1,200 ty => 600 ty,<= 8 ty,> 0.2,<= 0.05,<= 0.01,180 ty => 750 ty,> 9,> 18,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,1.5 => 2
